t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.54,-4.94271880098051e-14,1.1871947279689255e-12,-2.368883457177628e-13,-2.3677038452139636e-13,-7.774134458469854e-14,-1.0510401549741408e-14,9.170036285215469e-15,3.561875898665679e-13,-4.57852434757695e-13,-7.049978368423677e-12,-5.7864833089775036e-12,-1.0456847078499625e-12,6.805070186012303e-13,-6.72961679600275e-14,2.777451527232952e-15
0.55,5.836698041116611e-14,2.962322634371059e-13,5.717063514222229e-13,1.301567767409903e-13,-2.4275245984368976e-14,-1.688879342365973e-14,5.307607380943685e-14,-6.397048960427726e-14,-2.0544130226217774e-12,-1.2392343688759702e-12,9.395895723247026e-12,-6.568872548229181e-12,1.2468027370086954e-12,-1.026430256436707e-13,3.5392424668073685e-15
0.56,1.0725798640096387e-13,-9.617757640105994e-13,5.381494200457949e-13,2.9990943674904416e-13,6.864304182572015e-14,4.168574394090158e-15,4.60745943351229e-15,-4.1179643110169847e-13,-6.33746188665428e-14,6.890724353148057e-12,8.337132667449263e-12,-1.0568117764903594e-12,-2.4290844265499253e-13,2.751426609335153e-14,-1.2066899129220543e-15
0.5700000000000001,2.7410690904561275e-14,-9.157792796657405e-13,-2.925278292167932e-13,1.7266028017048907e-14,5.75810015987499e-14,1.9500351854107034e-14,-6.000549449686199e-14,-4.1399717855272744e-14,2.1686184749000748e-12,3.1371025568938116e-12,-6.900211847217508e-12,6.363661686362501e-12,-1.3776321392249685e-12,1.148166780292996e-13,-4.225159583098534e-15
0.58,-1.0125197392758106e-13,3.339554517254803e-13,-6.982882832075668e-13,-2.9062132745911323e-13,-4.3215065315301004e-14,3.830635353190004e-15,-2.2464303095666438e-14,4.422598761820093e-13,6.461159054614238e-13,-6.201602233591071e-12,-1.0134799209170382e-11,3.1334952400830993e-12,-2.571629568364278e-13,1.7253519034483855e-14,-5.483183080755988e-16
0.59,-1.0691819405197513e-13,1.1089980625174963e-12,-7.863526249964926e-14,-1.5982032117536384e-13,-7.999528570481508e-14,-1.8627708018659553e-14,6.246020614240032e-14,1.6536053329039256e-13,-2.1278584668197546e-12,-4.88192649080268e-12,3.944971597519753e-12,-5.473385122006314e-12,1.3219780054440824e-12,-1.0899967248776711e-13,3.974447995106628e-15
0.6,1.4362226279139925e-14,4.0566033130827635e-13,6.638982068360878e-13,2.10843946062177e-13,6.174331472529396e-15,-1.1571889686713341e-14,4.3266188835865485e-14,-4.409298277787809e-13,-1.2489050422905944e-12,5.0173819261909326e-12,1.106527349741958e-11,-4.954622036403662e-12,7.493200565513326e-13,-5.94166066987447e-14,2.3474128999119437e-15
0.61,1.2903758533151961e-13,-8.107662050136754e-13,4.391922650483649e-13,2.652619504530263e-13,8.493397567828527e-14,1.4420935826780015e-14,-5.894919358965904e-14,-2.991641595638094e-13,1.918776948987193e-12,6.330521356282719e-12,-7.850467610779743e-13,3.9700852909254226e-12,-1.0792755002154899e-12,8.646358843201855e-14,-2.9540172391540054e-15
0.62,9.043979486752368e-14,-9.275236964112824e-13,-4.3064338174029354e-13,-7.917452771958461e-14,3.4581698941070493e-14,1.7456508786227454e-14,-6.599062930216087e-14,4.014965307918769e-13,1.8246593336745595e-12,-3.4125094378967616e-12,-1.108811481488007e-11,6.3127877355856e-12,-1.1600266781224347e-12,9.237680336383197e-14,-3.4143491528006165e-15
0.63,-6.255764542452066e-14,1.729761692497063e-13,-6.799526694185702e-13,-3.041282977951469e-13,-7.100921819947967e-14,-7.535686213488296e-15,4.819404017574261e-14,4.330112182986297e-13,-1.5408161332659646e-12,-7.361275482134066e-12,-2.319297796079655e-12,-1.9988373952425746e-12,6.769233407860099e-13,-5.142173714828627e-14,1.4878235362475456e-15
0.64,-1.4368150088759843e-13,1.0175007605678528e-12,5.95725793456521e-14,-7.370969476059794e-14,-6.95463584182536e-14,-2.0259395018800558e-14,8.815388333584598e-14,-3.214195335127061e-13,-2.3250095357546345e-12,1.4989726108039121e-12,1.023884428440593e-11,-7.0452522871080996e-12,1.426729265600283e-12,-1.1125591414936839e-13,3.8122445738392186e-15
0.65,-4.887022318940393e-14,5.093499135921248e-13,7.197371767585919e-13,2.663914824407171e-13,3.9600674085413234e-14,-7.00421708479948e-16,-2.9524586985310575e-14,-5.551423307593312e-13,1.0083791169689799e-12,7.880704742209074e-12,5.123413168326915e-12,-2.397335531045125e-13,-1.685274912243545e-13,9.637784819348238e-15,-3.3312111749617124e-17
0.66,1.0166343542830289e-13,-6.533159768924192e-13,3.385850288833113e-13,2.083281125191648e-13,9.067222748451384e-14,1.965611782497531e-14,-1.0730135448786329e-13,2.0158524236804296e-13,2.7022767365241472e-12,5.853255908932174e-13,-8.619886739341751e-12,7.054460822734834e-12,-1.5062582325625802e-12,1.1397688213154664e-13,-3.6928603621214084e-15
