{0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.}
{0.491561473675235, 0.973272068552068, 0.450094326720128, 0.030711396249204, 0.000890453767821, 0.000014271966249, 1.45148007*^-7, 1.020152*^-9, 5.252*^-12, 2.1*^-14, 0., 0., 0., 0., 0., 0., 1.*^-15, 2.*^-15, 1.*^-15, 0.}
{0.495912779175718, 0.981504823315024, 0.452367533387441, 0.032233983249128, 0.000974093770677, 0.000016260296343, 1.72169371*^-7, 1.259572*^-9, 6.749*^-12, 2.8*^-14, 0., 0., 0., 0., 0., 0., 2.*^-15, 1.*^-15, 2.*^-15, 0.}
{0.499515824332968, 0.988244585665186, 0.453894966068471, 0.033752816332785, 0.001062319104575, 0.000018454982016, 2.03288808*^-7, 1.546905*^-9, 8.62*^-12, 3.7*^-14, 0., 0., 0., 0., 0., 0., 2.*^-15, 1.*^-15, 1.*^-15, 1.*^-15}
{0.502360830597394, 0.993473777193512, 0.454674814648093, 0.035261959964202, 0.00115506297629, 0.000020868137906, 2.38968652*^-7, 1.889982*^-9, 1.0945*^-11, 4.8*^-14, 0., 0., 0., 0., 0., 0., 2.*^-15, 1.*^-15, 0., 1.*^-15}
{0.504440419326775, 0.997179655878314, 0.454707894577416, 0.036755324819305, 0.001252223670121, 0.000023511473866, 2.79699374*^-7, 2.297576*^-9, 1.3817*^-11, 6.3*^-14, 0., 0., 0., 0., 0., 0., 3.*^-15, 2.*^-15, 0., 1.*^-15}
{0.505749626418026, 0.999354334640097, 0.45399762362113, 0.038226696830575, 0.001353662844836, 0.00002639613081, 3.25997823*^-7, 2.779466*^-9, 1.7347*^-11, 8.3*^-14, 0., 0., 0., 0., 0., 0., 3.*^-15, 2.*^-15, 0., 0.}
{0.506285908935946, 0.999994783463192, 0.452549988577017, 0.039669767656103, 0.001459204016107, 0.000029532504962, 3.78404805*^-7, 3.346483*^-9, 2.1661*^-11, 1.07*^-13, 0., 0., 0., 0., 0., 0., 2.*^-15, 1.*^-15, 0., 0.}
{0.506049143750984, 0.99910281516665, 0.450373502156596, 0.041078166430387, 0.001568631247794, 0.000032930061323, 4.37481964*^-7, 4.010558*^-9, 2.6906*^-11, 1.38*^-13, 0., 0., 0., 0., 0., 0., 2.*^-15, 2.*^-15, 1.*^-15, 1.*^-15}
{0.505041618225732, 0.996685054965231, 0.447479150255563, 0.042445492645458, 0.001681688075045, 0.000036597137355, 5.03807898*^-7, 4.784752*^-9, 3.3249*^-11, 1.76*^-13, 1.*^-15, 0., 0., 0., 0., 0., 1.*^-15, 3.*^-15, 3.*^-15, 1.*^-15}
{0.503268013017052, 0.992752894018759, 0.44388032988126, 0.04376535000289, 0.001798076681622, 0.000040540738093, 5.7797346*^-7, 5.683271*^-9, 4.0884*^-11, 2.24*^-13, 1.*^-15, 0., 0., 0., 0., 0., 1.*^-15, 3.*^-15, 3.*^-15, 1.*^-15}
{0.500735377087827, 0.987322427224762, 0.439592778041786, 0.045031381069946, 0.001917457353112, 0.000044766324106, 6.60576199*^-7, 6.72147*^-9, 5.0027*^-11, 2.84*^-13, 1.*^-15, 0., 0., 0., 0., 0., 0., 2.*^-15, 3.*^-15, 1.*^-15}
{0.497453095048719, 0.980414375564406, 0.434634491937241, 0.046237302566696, 0.002039448226802, 0.000049277593939, 7.52213888*^-7, 7.915835*^-9, 6.0924*^-11, 3.57*^-13, 1.*^-15, 0., 0., 0., 0., 1.*^-15, 2.*^-15, 1.*^-15, 3.*^-15, 1.*^-15}
{0.493432846976303, 0.972053993365652, 0.429025640827937, 0.047376941105273, 0.002163625357871, 0.000054076262903, 8.53477124*^-7, 9.28394*^-9, 7.3849*^-11, 4.48*^-13, 2.*^-15, 0., 0., 0., 0., 1.*^-15, 1.*^-15, 2.*^-15, 3.*^-15, 1.*^-15}
