{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{4.1750602974843793*^-8 + 0.*I, 0.9935991679061841 + 0.*I, 0.9935995621081996 + 0.*I, 1.2190827902713863*^-6 + 0.*I, 1.1571946068045236*^-6 + 0.*I, 6.483070080776088*^-7 + 0.*I, 3.0565798780912706*^-7 + 0.*I, 1.8610402108265592*^-8 + 0.*I, 5.438920425149263*^-8 + 0.*I, 1.0731520060612566*^-7 + 0.*I, 1.1983840295971829*^-7 + 0.*I, 9.624406219906652*^-9 + 0.*I, 2.4596406899072687*^-8 + 0.*I}
{4.1750602974843793*^-8 + 0.*I, 0.9935991679061841 + 0.*I, 0.9935995621081996 + 0.*I, 1.2190827902713863*^-6 + 0.*I, 1.1571946068045236*^-6 + 0.*I, 6.483070080776088*^-7 + 0.*I, 3.0565798780912706*^-7 + 0.*I, 1.8610402108265592*^-8 + 0.*I, 5.438920425149263*^-8 + 0.*I, 1.0731520060612566*^-7 + 0.*I, 1.1983840295971829*^-7 + 0.*I, 9.624406219906652*^-9 + 0.*I, 2.4596406899072687*^-8 + 0.*I}
{4.1750602974843793*^-8 + 0.*I, 0.9935991679061841 + 0.*I, 0.9935995621081996 + 0.*I, 1.2190827902713863*^-6 + 0.*I, 1.1571946068045236*^-6 + 0.*I, 6.483070080776088*^-7 + 0.*I, 3.0565798780912706*^-7 + 0.*I, 1.8610402108265592*^-8 + 0.*I, 5.438920425149263*^-8 + 0.*I, 1.0731520060612566*^-7 + 0.*I, 1.1983840295971829*^-7 + 0.*I, 9.624406219906652*^-9 + 0.*I, 2.4596406899072687*^-8 + 0.*I}
{4.1750602974843793*^-8 + 0.*I, 0.9935991679061841 + 0.*I, 0.9935995621081996 + 0.*I, 1.2190827902713863*^-6 + 0.*I, 1.1571946068045236*^-6 + 0.*I, 6.483070080776088*^-7 + 0.*I, 3.0565798780912706*^-7 + 0.*I, 1.8610402108265592*^-8 + 0.*I, 5.438920425149263*^-8 + 0.*I, 1.0731520060612566*^-7 + 0.*I, 1.1983840295971829*^-7 + 0.*I, 9.624406219906652*^-9 + 0.*I, 2.4596406899072687*^-8 + 0.*I}
{8.770739690078244*^-8 + 0.*I, 0.9900201657376096 + 0.*I, 0.9900211291147932 + 0.*I, 2.9847908145086426*^-6 + 0.*I, 2.819776012685793*^-6 + 0.*I, 1.5821007837146794*^-6 + 0.*I, 7.464537876700207*^-7 + 0.*I, 4.6960413335739304*^-8 + 0.*I, 1.314655939665954*^-7 + 0.*I, 2.609285948765306*^-7 + 0.*I, 2.917385943934648*^-7 + 0.*I, 2.3471989976655497*^-8 + 0.*I, 5.982460594619629*^-8 + 0.*I}
{8.770739690078244*^-8 + 0.*I, 0.9900201657376096 + 0.*I, 0.9900211291147932 + 0.*I, 2.9847908145086426*^-6 + 0.*I, 2.819776012685793*^-6 + 0.*I, 1.5821007837146794*^-6 + 0.*I, 7.464537876700207*^-7 + 0.*I, 4.6960413335739304*^-8 + 0.*I, 1.314655939665954*^-7 + 0.*I, 2.609285948765306*^-7 + 0.*I, 2.917385943934648*^-7 + 0.*I, 2.3471989976655497*^-8 + 0.*I, 5.982460594619629*^-8 + 0.*I}
{8.770739690078244*^-8 + 0.*I, 0.9900201657376096 + 0.*I, 0.9900211291147932 + 0.*I, 2.9847908145086426*^-6 + 0.*I, 2.819776012685793*^-6 + 0.*I, 1.5821007837146794*^-6 + 0.*I, 7.464537876700207*^-7 + 0.*I, 4.6960413335739304*^-8 + 0.*I, 1.314655939665954*^-7 + 0.*I, 2.609285948765306*^-7 + 0.*I, 2.917385943934648*^-7 + 0.*I, 2.3471989976655497*^-8 + 0.*I, 5.982460594619629*^-8 + 0.*I}
{8.770739690078244*^-8 + 0.*I, 0.9900201657376096 + 0.*I, 0.9900211291147932 + 0.*I, 2.9847908145086426*^-6 + 0.*I, 2.819776012685793*^-6 + 0.*I, 1.5821007837146794*^-6 + 0.*I, 7.464537876700207*^-7 + 0.*I, 4.6960413335739304*^-8 + 0.*I, 1.314655939665954*^-7 + 0.*I, 2.609285948765306*^-7 + 0.*I, 2.917385943934648*^-7 + 0.*I, 2.3471989976655497*^-8 + 0.*I, 5.982460594619629*^-8 + 0.*I}
{8.770739690078244*^-8 + 0.*I, 0.9900201657376096 + 0.*I, 0.9900211291147932 + 0.*I, 2.9847908145086426*^-6 + 0.*I, 2.819776012685793*^-6 + 0.*I, 1.5821007837146794*^-6 + 0.*I, 7.464537876700207*^-7 + 0.*I, 4.6960413335739304*^-8 + 0.*I, 1.314655939665954*^-7 + 0.*I, 2.609285948765306*^-7 + 0.*I, 2.917385943934648*^-7 + 0.*I, 2.3471989976655497*^-8 + 0.*I, 5.982460594619629*^-8 + 0.*I}
{8.770739690078244*^-8 + 0.*I, 0.9900201657376096 + 0.*I, 0.9900211291147932 + 0.*I, 2.9847908145086426*^-6 + 0.*I, 2.819776012685793*^-6 + 0.*I, 1.5821007837146794*^-6 + 0.*I, 7.464537876700207*^-7 + 0.*I, 4.6960413335739304*^-8 + 0.*I, 1.314655939665954*^-7 + 0.*I, 2.609285948765306*^-7 + 0.*I, 2.917385943934648*^-7 + 0.*I, 2.3471989976655497*^-8 + 0.*I, 5.982460594619629*^-8 + 0.*I}
