{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.23140177242859664 + 0.*I, 0.2152731725717949 + 0.*I, 0.22954538563821902 + 0.*I, 0.041530444627402296 + 0.*I, 0.15432683858120913 + 0.*I, 0.04383276408199688 + 0.*I, 0.005551027850780877 + 0.*I, 0.0004118519197904292 + 0.*I, 0.00002017982678736985 + 0.*I, 1.3891219285966372*^-7 + 0.*I, 5.70762592744245*^-7 + 0.*I, 1.9668813910911354*^-6 + 0.*I, 5.0826782116431*^-6 + 0.*I, 2.951030197984039*^-6 + 0.*I, 0.000010560780205892685 + 0.*I, 6.120684803434529*^-6 + 0.*I, 4.801835995493775*^-6 + 0.*I, 1.0001139916226975*^-6 + 0.*I, 1.0602321243169399*^-7 + 0.*I, 6.991185408367074*^-9 + 0.*I, 3.1721292259589973*^-10 + 0.*I, 1.0391687510491465*^-11 + 0.*I}
{0.22507653193881155 + 0.*I, 0.20758546007140222 + 0.*I, 0.22334769671019664 + 0.*I, 0.03428763440800342 + 0.*I, 0.15505686630239435 + 0.*I, 0.045191945460199 + 0.*I, 0.005838280612779912 + 0.*I, 0.00044108104120255115 + 0.*I, 0.00002198910000750232 + 0.*I, 1.775501967671289*^-7 + 0.*I, 5.905181899024115*^-7 + 0.*I, 1.9958700026023735*^-6 + 0.*I, 5.272762004793208*^-6 + 0.*I, 3.3255254106023817*^-6 + 0.*I, 0.000010942993800000524 + 0.*I, 6.087650383790334*^-6 + 0.*I, 5.002398784093032*^-6 + 0.*I, 1.065672616817892*^-6 + 0.*I, 1.1513558995090989*^-7 + 0.*I, 7.726996820167642*^-9 + 0.*I, 3.5660363550960033*^-10 + 0.*I, 1.1990408665951692*^-11 + 0.*I}
{0.21863879621058513 + 0.*I, 0.19962689687560436 + 0.*I, 0.21693074949080682 + 0.*I, 0.027049184041416652 + 0.*I, 0.15569138451398956 + 0.*I, 0.04656829551341613 + 0.*I, 0.006136713546389672 + 0.*I, 0.0004720561825877213 + 0.*I, 0.00002394139360095693 + 0.*I, 2.2165880242397407*^-7 + 0.*I, 6.101449789852609*^-7 + 0.*I, 2.023793599370549*^-6 + 0.*I, 5.460790797329196*^-6 + 0.*I, 3.70321340259494*^-6 + 0.*I, 0.000011321936610464434 + 0.*I, 6.041925804112225*^-6 + 0.*I, 5.207349795810501*^-6 + 0.*I, 1.134662408475151*^-6 + 0.*I, 1.2492580303558043*^-7 + 0.*I, 8.532197171007283*^-9 + 0.*I, 4.0041303606130896*^-10 + 0.*I, 1.3788969965844446*^-11 + 0.*I}
{0.21209393379898467 + 0.*I, 0.19140959414039035 + 0.*I, 0.21030669471340246 + 0.*I, 0.019822906356203873 + 0.*I, 0.15622841501079512 + 0.*I, 0.04796104470838891 + 0.*I, 0.006446576512009195 + 0.*I, 0.0005048600373980251 + 0.*I, 0.000026046431989001917 + 0.*I, 2.7181938921927445*^-7 + 0.*I, 6.295593824034995*^-7 + 0.*I, 2.0506065956382713*^-6 + 0.*I, 5.646319412022648*^-6 + 0.*I, 4.083391202946984*^-6 + 0.*I, 0.000011696777790781711 + 0.*I, 5.9830379983694115*^-6 + 0.*I, 5.416568393812327*^-6 + 0.*I, 1.2072074007107858*^-6 + 0.*I, 1.354366174766142*^-7 + 0.*I, 9.412604029535032*^-9 + 0.*I, 4.4979575619663597*^-10 + 0.*I, 1.6209256159527285*^-11 + 0.*I}
{0.205447394105196 + 0.*I, 0.18294584087039656 + 0.*I, 0.20348780192620539 + 0.*I, 0.012616583954194738 + 0.*I, 0.15666607092201804 + 0.*I, 0.04936938369060063 + 0.*I, 0.006768116612199116 + 0.*I, 0.0005395779731909301 + 0.*I, 0.000028314481603786135 + 0.*I, 3.2866220855964917*^-7 + 0.*I, 6.486704062780292*^-7 + 0.*I, 2.0762652042094487*^-6 + 0.*I, 5.8288963877828345*^-6 + 0.*I, 4.465333991454656*^-6 + 0.*I, 0.00001206667239461723 + 0.*I, 5.910521005958459*^-6 + 0.*I, 5.629917398941587*^-6 + 0.*I, 1.2834316054366468*^-6 + 0.*I, 1.4671039938463085*^-7 + 0.*I, 1.0374212600083865*^-8 + 0.*I, 5.037970041144035*^-10 + 0.*I, 1.8385293287792592*^-11 + 0.*I}
{0.19870470128380283 + 0.*I, 0.17424808854200613 + 0.*I, 0.19648644314080868 + 0.*I, 0.005437959059806375 + 0.*I, 0.1570025600261982 + 0.*I, 0.05079246345041089 + 0.*I, 0.0071015777525884624 + 0.*I, 0.0005762980598067458 + 0.*I, 0.000030756379199026185 + 0.*I, 3.9287137987287224*^-7 + 0.*I, 6.673791963507371*^-7 + 0.*I, 2.100729190601669*^-6 + 0.*I, 6.008063002660435*^-6 + 0.*I, 4.848297607829011*^-6 + 0.*I, 0.000012430761797688206 + 0.*I, 5.823921012115818*^-6 + 0.*I, 5.847247197543482*^-6 + 0.*I, 1.3634619877578304*^-6 + 0.*I, 1.5879420001141398*^-7 + 0.*I, 1.1423595402959565*^-8 + 0.*I, 5.639932965095795*^-10 + 0.*I, 2.1183055309847987*^-11 + 0.*I}
{0.1918714481002004 + 0.*I, 0.1653289356337906 + 0.*I, 0.18931507647179657 + 0.*I, 0.0017052765452163499 + 0.*I, 0.1572361879508044 + 0.*I, 0.052229395550607016 + 0.*I, 0.007447200191390557 + 0.*I, 0.0006151110867991251 + 0.*I, 0.00003338355261117698 + 0.*I, 4.6518680019147496*^-7 + 0.*I, 6.855786160997468*^-7 + 0.*I, 2.12396058518749*^-6 + 0.*I, 6.183355782951593*^-6 + 0.*I, 5.231517397064067*^-6 + 0.*I, 0.000012788176406708375 + 0.*I, 5.722794593765457*^-6 + 0.*I, 6.068391988911515*^-6 + 0.*I, 1.4474248022366965*^-6 + 0.*I, 1.7173580335594354*^-7 + 0.*I, 1.2568013296743175*^-8 + 0.*I, 6.308065181315214*^-10 + 0.*I, 2.4202861936828413*^-11 + 0.*I}
{0.18495328974300065 + 0.*I, 0.15620111209520005 + 0.*I, 0.18198622978500284 + 0.*I, 0.008805491478591778 + 0.*I, 0.15736536125119385 + 0.*I, 0.05367925241339667 + 0.*I, 0.00780522007821638 + 0.*I, 0.0006561105813984724 + 0.*I, 0.00003620804440718217 + 0.*I, 5.464086072493046*^-7 + 0.*I, 7.031528026502087*^-7 + 0.*I, 2.1459257926181863*^-6 + 0.*I, 6.354306414380063*^-6 + 0.*I, 5.6142118065594104*^-6 + 0.*I, 0.000013138035592774601 + 0.*I, 5.60671140625857*^-6 + 0.*I, 6.293170606852527*^-6 + 0.*I, 1.5354471916140258*^-6 + 0.*I, 1.855851916587881*^-7 + 0.*I, 1.3814793753397227*^-8 + 0.*I, 7.04791780492542*^-10 + 0.*I, 2.7799984536613923*^-11 + 0.*I}
{0.17795593760640552 + 0.*I, 0.14687746376580435 + 0.*I, 0.17451248437561076 + 0.*I, 0.01585512459818528 + 0.*I, 0.15738859036740216 + 0.*I, 0.055141067672992435 + 0.*I, 0.008175868987603252 + 0.*I, 0.0006993928236109783 + 0.*I, 0.00003924253939580069 + 0.*I, 6.374025973698849*^-7 + 0.*I, 7.199757900977488*^-7 + 0.*I, 2.166593193742017*^-6 + 0.*I, 6.520442608071165*^-6 + 0.*I, 5.995583807205662*^-6 + 0.*I, 0.000013479451599351934 + 0.*I, 5.475256203979485*^-6 + 0.*I, 6.5213862088242536*^-6 + 0.*I, 1.6276578085339113*^-6 + 0.*I, 2.003952115359198*^-7 + 0.*I, 1.517221903668542*^-8 + 0.*I, 7.86615217407416*^-10 + 0.*I, 3.1596947280831955*^-11 + 0.*I}
{0.17088515304299892 + 0.*I, 0.1373709367653797 + 0.*I, 0.1669064587034086 + 0.*I, 0.022846694711597948 + 0.*I, 0.15730449244961697 + 0.*I, 0.05661383658819297 + 0.*I, 0.008559373439998021 + 0.*I, 0.0007450568543898583 + 0.*I, 0.00004250038541098178 + 0.*I, 7.391018019831108*^-7 + 0.*I, 7.359137965678998*^-7 + 0.*I, 2.1859361876153116*^-6 + 0.*I, 6.681291009336122*^-6 + 0.*I, 6.374819405685628*^-6 + 0.*I, 0.000013811530186202958 + 0.*I, 5.328027397055735*^-6 + 0.*I, 6.752826009481795*^-6 + 0.*I, 1.7241839955772775*^-6 + 0.*I, 2.1621999746201936*^-7 + 0.*I, 1.664839377468752*^-8 + 0.*I, 8.769873716119038*^-10 + 0.*I, 3.5793590313915053*^-11 + 0.*I}
{0.16374674109721488 + 0.*I, 0.1276945618789993 + 0.*I, 0.15918079219439107 + 0.*I, 0.029772810136807774 + 0.*I, 0.15711179405000222 + 0.*I, 0.05809651652000092 + 0.*I, 0.008955954420186709 + 0.*I, 0.0007932044848057985 + 0.*I, 0.000045995624198269525 + 0.*I, 8.525129935321731*^-7 + 0.*I, 7.508202060080293*^-7 + 0.*I, 2.203931392941172*^-6 + 0.*I, 6.836373600549451*^-6 + 0.*I, 6.751093994949997*^-6 + 0.*I, 0.000014133371584179601 + 0.*I, 5.1646422027928915*^-6 + 0.*I, 6.9872614139043785*^-6 + 0.*I, 1.8251541833436138*^-6 + 0.*I, 2.3311699237638095*^-7 + 0.*I, 1.825319895232269*^-8 + 0.*I, 9.771961018145703*^-10 + 0.*I, 4.0989434069160786*^-11 + 0.*I}
{0.1565465442268044 + 0.*I, 0.1178614389466093 + 0.*I, 0.15134812914638918 + 0.*I, 0.03662617811099889 + 0.*I, 0.15680933367459016 + 0.*I, 0.059588027469392735 + 0.*I, 0.009365826881002626 + 0.*I, 0.0008439402968019039 + 0.*I, 0.00004974301299753848 + 0.*I, 9.787197940980266*^-7 + 0.*I, 7.64539209718862*^-7 + 0.*I, 2.220559602861272*^-6 + 0.*I, 6.985214606736179*^-6 + 0.*I, 7.123569401024099*^-6 + 0.*I, 0.000014444074203368018 + 0.*I, 4.984735202384627*^-6 + 0.*I, 7.224446796350037*^-6 + 0.*I, 1.930695403551397*^-6 + 0.*I, 2.5114539337067754*^-7 + 0.*I, 1.999580501177434*^-8 + 0.*I, 1.0875966793832959*^-9 + 0.*I, 4.660716257376408*^-11 + 0.*I}
{0.14929043602020522 + 0.*I, 0.10788472128939741 + 0.*I, 0.14342110274161435 + 0.*I, 0.043399614023398314 + 0.*I, 0.1563960641941975 + 0.*I, 0.0610872526822126 + 0.*I, 0.009789199249410352 + 0.*I, 0.0008973716428162249 + 0.*I, 0.00005375805318674765 + 0.*I, 1.1188890036706312*^-6 + 0.*I, 7.769031862281395*^-7 + 0.*I, 2.2358054074800297*^-6 + 0.*I, 7.127337786627664*^-6 + 0.*I, 7.491398590353527*^-6 + 0.*I, 0.000014742735787720562 + 0.*I, 4.787960805607838*^-6 + 0.*I, 7.464120010958198*^-6 + 0.*I, 2.040935198621696*^-6 + 0.*I, 2.7036699545845977*^-7 + 0.*I, 2.1886781276236892*^-8 + 0.*I, 1.209410349645168*^-9 + 0.*I, 5.32018873400375*^-11 + 0.*I}
{0.14198431491519448 + 0.*I, 0.09777760017979366 + 0.*I, 0.13541231920020103 + 0.*I, 0.05008605046739057 + 0.*I, 0.15587105510601607 + 0.*I, 0.06259303931341888 + 0.*I, 0.010226272919200419 + 0.*I, 0.0009536086382100352 + 0.*I, 0.000058057017393586825 + 0.*I, 1.2742733979109744*^-6 + 0.*I, 7.877325902683197*^-7 + 0.*I, 2.249658392905474*^-6 + 0.*I, 7.262268608698719*^-6 + 0.*I, 7.853725403350609*^-6 + 0.*I, 0.000015028455013776922 + 0.*I, 4.573993805934152*^-6 + 0.*I, 7.706001814433705*^-6 + 0.*I, 2.1559990015518333*^-6 + 0.*I, 2.908453922145782*^-7 + 0.*I, 2.393680809120724*^-8 + 0.*I, 1.343392064256932*^-9 + 0.*I, 5.999645225074346*^-11 + 0.*I}
{0.13463409792920933 + 0.*I, 0.08755328938181427 + 0.*I, 0.12733434208758168 + 0.*I, 0.05667854609741064 + 0.*I, 0.1552334946460121 + 0.*I, 0.06410419915798826 + 0.*I, 0.010677241742196308 + 0.*I, 0.0010127641552060143 + 0.*I, 0.00006265697680696292 + 0.*I, 1.4462197883702288*^-6 + 0.*I, 7.9683479814463*^-7 + 0.*I, 2.262111986617299*^-6 + 0.*I, 7.389534606438986*^-6 + 0.*I, 8.20968839576608*^-6 + 0.*I, 0.00001530033399976816 + 0.*I, 4.342532400336553*^-6 + 0.*I, 7.949796820838628*^-6 + 0.*I, 2.2760120010900664*^-6 + 0.*I, 3.1264719702051025*^-7 + 0.*I, 2.615758720736494*^-8 + 0.*I, 1.4909851131506004*^-9 + 0.*I, 6.759037773917954*^-11 + 0.*I}
{0.12724571440420607 + 0.*I, 0.07722500977660474 + 0.*I, 0.11919967679721034 + 0.*I, 0.0631702942768042 + 0.*I, 0.15448269174558327 + 0.*I, 0.06561950944219408 + 0.*I, 0.011142291514798508 + 0.*I, 0.0010749538049914522 + 0.*I, 0.0000675758293988693 + 0.*I, 1.6361737964487592*^-6 + 0.*I, 8.040041965529099*^-7 + 0.*I, 2.2731659887753612*^-6 + 0.*I, 7.508666799438402*^-6 + 0.*I, 8.558421193960442*^-6 + 0.*I, 0.000015557478794114843 + 0.*I, 4.093297589768952*^-6 + 0.*I, 8.195192591209379*^-6 + 0.*I, 2.401098186943784*^-6 + 0.*I, 3.358423983357284*^-7 + 0.*I, 2.8561997211795646*^-8 + 0.*I, 1.6533885371927685*^-9 + 0.*I, 7.66053886991358*^-11 + 0.*I}
{0.11982509977999659 + 0.*I, 0.06680597409181033 + 0.*I, 0.11102075522981812 + 0.*I, 0.06955463151001595 + 0.*I, 0.15361807782960923 + 0.*I, 0.06713771367681254 + 0.*I, 0.011621599456801414 + 0.*I, 0.0011402959189998898 + 0.*I, 0.00007283232719146326 + 0.*I, 1.8456834061097995*^-6 + 0.*I, 8.090202063826268*^-7 + 0.*I, 2.2828237966621145*^-6 + 0.*I, 7.619201602970805*^-6 + 0.*I, 8.899054804167862*^-6 + 0.*I, 0.000015799004393635133 + 0.*I, 3.82603639881296*^-6 + 0.*I, 8.441859189467493*^-6 + 0.*I, 2.531379195147565*^-6 + 0.*I, 3.605028053854653*^-7 + 0.*I, 3.116340518971584*^-8 + 0.*I, 1.832201057538896*^-9 + 0.*I, 8.679723606519475*^-11 + 0.*I}
{0.11237818939400235 + 0.*I, 0.05630937175380435 + 0.*I, 0.10280992068598671 + 0.*I, 0.07582504564500604 + 0.*I, 0.15263920845358658 + 0.*I, 0.06865752257478876 + 0.*I, 0.012115333690587704 + 0.*I, 0.0012089115239977133 + 0.*I, 0.00007844610419027731 + 0.*I, 2.0764068020540094*^-6 + 0.*I, 8.116495919807676*^-7 + 0.*I, 2.2910942032439152*^-6 + 0.*I, 7.720682004830339*^-6 + 0.*I, 9.230718611696886*^-6 + 0.*I, 0.000016024035187633956 + 0.*I, 3.5405197884585964*^-6 + 0.*I, 8.689448804943822*^-6 + 0.*I, 2.6669731978401497*^-6 + 0.*I, 3.8670118218675503*^-7 + 0.*I, 3.397460091036919*^-8 + 0.*I, 2.0279999901617884*^-9 + 0.*I, 9.741096818061125*^-11 + 0.*I}
{0.10491091232419093 + 0.*I, 0.04574835388460042 + 0.*I, 0.09457941298920414 + 0.*I, 0.08197518383099567 + 0.*I, 0.15154576477940385 + 0.*I, 0.0701776150299871 + 0.*I, 0.012623652719190304 + 0.*I, 0.0012809243163935946 + 0.*I, 0.00008443770880273149 + 0.*I, 2.330120185689566*^-6 + 0.*I, 8.116415983749903*^-7 + 0.*I, 2.2979913971710175*^-6 + 0.*I, 7.812656210859359*^-6 + 0.*I, 9.552544000257514*^-6 + 0.*I, 0.000016231705801672547 + 0.*I, 3.2365490065799918*^-6 + 0.*I, 8.937598194869169*^-6 + 0.*I, 2.8079988112494902*^-6 + 0.*I, 4.145157994628335*^-7 + 0.*I, 3.701119410948195*^-8 + 0.*I, 2.2427837365057712*^-9 + 0.*I, 1.0960121699099545*^-10 + 0.*I}
{0.09742918527440025 + 0.*I, 0.03513601844959968 + 0.*I, 0.08634135386340613 + 0.*I, 0.0879988602310089 + 0.*I, 0.1503375548786101 + 0.*I, 0.07169663915540526 + 0.*I, 0.013146704896005447 + 0.*I, 0.0013564606228033684 + 0.*I, 0.0000908286294176719 + 0.*I, 2.6087213944592236*^-6 + 0.*I, 8.087301939241344*^-7 + 0.*I, 2.303535406866786*^-6 + 0.*I, 7.894681819387017*^-6 + 0.*I, 9.863665595410966*^-6 + 0.*I, 0.00001642116520539361 + 0.*I, 2.9139517909726464*^-6 + 0.*I, 9.185925997634571*^-6 + 0.*I, 2.9545693891463998*^-6 + 0.*I, 4.4402559407075165*^-7 + 0.*I, 4.0288794522780336*^-8 + 0.*I, 2.4783952667917224*^-9 + 0.*I, 1.2319034681240737*^-10 + 0.*I}
{0.0899389065131928 + 0.*I, 0.024485395586415496 + 0.*I, 0.07810773257659333 + 0.*I, 0.0938900634734008 + 0.*I, 0.149014514871193 + 0.*I, 0.07321321338120691 + 0.*I, 0.013684627899590573 + 0.*I, 0.0014356493648115534 + 0.*I, 0.00009764132458123244 + 0.*I, 2.9142380064683957*^-6 + 0.*I, 8.026316056231053*^-7 + 0.*I, 2.307750990304669*^-6 + 0.*I, 7.966325599184643*^-6 + 0.*I, 0.000010163222396997186 + 0.*I, 0.000016591578400060317 + 0.*I, 2.5725870100856696*^-6 + 0.*I, 9.434034198285701*^-6 + 0.*I, 3.106796198082407*^-6 + 0.*I, 4.7531301117231806*^-7 + 0.*I, 4.3823789042107826*^-8 + 0.*I, 2.7364110977146083*^-9 + 0.*I, 1.3820056210533949*^-10 + 0.*I}
{0.08244594987219522 + 0.*I, 0.013809433123990189 + 0.*I, 0.06989039186959811 + 0.*I, 0.09964296382900528 + 0.*I, 0.14757670989140606 + 0.*I, 0.07472592761579298 + 0.*I, 0.014237548206197381 + 0.*I, 0.0015186220105878336 + 0.*I, 0.00010489925499346243 + 0.*I, 3.248835600544453*^-6 + 0.*I, 7.930448076010066*^-7 + 0.*I, 2.31066938916058*^-6 + 0.*I, 8.027163800328196*^-6 + 0.*I, 0.000010450361398461895 + 0.*I, 0.000016742127018076758 + 0.*I, 2.2123445964084003*^-6 + 0.*I, 9.681508017500564*^-6 + 0.*I, 3.2647874181890306*^-6 + 0.*I, 5.084630050333773*^-7 + 0.*I, 4.7634185484923825*^-8 + 0.*I, 3.019207106547128*^-9 + 0.*I, 1.553868145265369*^-10 + 0.*I}
{0.07495615880919738 + 0.*I, 0.003120982310211851 + 0.*I, 0.061701014190207466 + 0.*I, 0.10525192011601181 + 0.*I, 0.14602433487800326 + 0.*I, 0.07623334445938658 + 0.*I, 0.014805580559995592 + 0.*I, 0.0016055125254155202 + 0.*I, 0.00011262690939872756 + 0.*I, 3.6148225968091197*^-6 + 0.*I, 7.796496115375362*^-7 + 0.*I, 2.312326796705122*^-6 + 0.*I, 8.076785595889646*^-6 + 0.*I, 0.000010724237387016446 + 0.*I, 0.000016872014607649533 + 0.*I, 1.833145590879326*^-6 + 0.*I, 9.927915400886889*^-6 + 0.*I, 3.4286455896648253*^-6 + 0.*I, 5.435629946148879*^-7 + 0.*I, 5.173759198839889*^-8 + 0.*I, 3.3284042189052343*^-9 + 0.*I, 1.7399415241925453*^-10 + 0.*I}
{0.0674753405446038 + 0.*I, 0.0075672162335838076 + 0.*I, 0.05355110824201148 + 0.*I, 0.11071148631061069 + 0.*I, 0.14435771519578644 + 0.*I, 0.07773400048161073 + 0.*I, 0.015388827450601996 + 0.*I, 0.0016964573154032438 + 0.*I, 0.00012084983840310318 + 0.*I, 4.014660781592738*^-6 + 0.*I, 7.621064002094614*^-7 + 0.*I, 2.3127666004540974*^-6 + 0.*I, 8.11479099471768*^-6 + 0.*I, 0.00001098401780641467 + 0.*I, 0.000016980465011862126 + 0.*I, 1.4349458066220677*^-6 + 0.*I, 0.000010172808595498852 + 0.*I, 3.5984708102176906*^-6 + 0.*I, 5.807033964799757*^-7 + 0.*I, 5.615399256697629*^-8 + 0.*I, 3.6660008362332523*^-9 + 0.*I, 1.9499957204516252*^-10 + 0.*I}
{0.06000926027480148 + 0.*I, 0.018242546320212938 + 0.*I, 0.0454519958718036 + 0.*I, 0.11601641786820328 + 0.*I, 0.14257730707081254 + 0.*I, 0.07922640754798316 + 0.*I, 0.015987378586190815 + 0.*I, 0.0017915951636027216 + 0.*I, 0.00012959468140838482 + 0.*I, 4.450970991776161*^-6 + 0.*I, 7.400545953828441*^-7 + 0.*I, 2.3120363845663405*^-6 + 0.*I, 8.140795815236858*^-6 + 0.*I, 0.00001122888160232094 + 0.*I, 0.000017066727986403407 + 0.*I, 1.0177333864547224*^-6 + 0.*I, 0.000010415722395684668 + 0.*I, 3.7743570047155117*^-6 + 0.*I, 6.199768032288944*^-7 + 0.*I, 6.09035932797042*^-8 + 0.*I, 4.034417244724865*^-9 + 0.*I, 2.1760371282653068*^-10 + 0.*I}
{0.05256363547179177 + 0.*I, 0.028892529744206644 + 0.*I, 0.03741479930139402 + 0.*I, 0.12116167773659203 + 0.*I, 0.1406836978592008 + 0.*I, 0.080709054209005 + 0.*I, 0.01660131037519719 + 0.*I, 0.0018910671641947376 + 0.*I, 0.0001388891999853925 + 0.*I, 4.926543595296096*^-6 + 0.*I, 7.131119916792272*^-7 + 0.*I, 2.3101919932599917*^-6 + 0.*I, 8.154428399187452*^-6 + 0.*I, 0.000011458024795629742 + 0.*I, 0.000017130077600846505 + 0.*I, 5.815345982540522*^-7 + 0.*I, 0.000010656177384937848 + 0.*I, 3.956393790360835*^-6 + 0.*I, 6.614794045844974*^-7 + 0.*I, 6.600859858707508*^-8 + 0.*I, 4.436606637625573*^-9 + 0.*I, 2.4300561562995426*^-10 + 0.*I}
{0.04514413027439379 + 0.*I, 0.039504839561388394 + 0.*I, 0.029450428728017283 + 0.*I, 0.12614244206179406 + 0.*I, 0.1386776061284012 + 0.*I, 0.08218040713601217 + 0.*I, 0.017230685408198276 + 0.*I, 0.001995016645617298 + 0.*I, 0.00014876230560734174 + 0.*I, 5.444345196892187*^-6 + 0.*I, 6.808734021035435*^-7 + 0.*I, 2.3072938004631287*^-6 + 0.*I, 8.155333985904178*^-6 + 0.*I, 0.000011670659794127406 + 0.*I, 0.000017169818011808502 + 0.*I, 1.2640979374367592*^-7 + 0.*I, 0.000010893677582224372 + 0.*I, 4.144666010397203*^-6 + 0.*I, 7.053100103959765*^-7 + 0.*I, 7.149179026555431*^-8 + 0.*I, 4.875411185878421*^-9 + 0.*I, 2.716049607442983*^-10 + 0.*I}
{0.03775634997499334 + 0.*I, 0.05006731308239143 + 0.*I, 0.021569570301593902 + 0.*I, 0.13095410557621978 + 0.*I, 0.13655988156560106 + 0.*I, 0.08363891261280454 + 0.*I, 0.01787555194421309 + 0.*I, 0.002103589089808011 + 0.*I, 0.0001592440891817759 + 0.*I, 6.0075288077499076*^-6 + 0.*I, 6.429099919103011*^-7 + 0.*I, 2.303408619397374*^-6 + 0.*I, 8.143175000974168*^-6 + 0.*I, 0.00001186601799041398 + 0.*I, 0.00001718528339633707 + 0.*I, 3.4754299438333197*^-7 + 0.*I, 0.000011127711196934344 + 0.*I, 4.339250403440077*^-6 + 0.*I, 7.515689848247575*^-7 + 0.*I, 7.73769937012503*^-8 + 0.*I, 5.353384402440043*^-9 + 0.*I, 3.030020678806977*^-10 + 0.*I}
{0.030405835608393605 + 0.*I, 0.060567964563595936 + 0.*I, 0.013782674491413795 + 0.*I, 0.13559228666200077 + 0.*I, 0.13433150470341104 + 0.*I, 0.08508299807699071 + 0.*I, 0.01853594340619491 + 0.*I, 0.002216932047183207 + 0.*I, 0.0001703658540019859 + 0.*I, 6.619441994537567*^-6 + 0.*I, 5.987683904251639*^-7 + 0.*I, 2.298610612960772*^-6 + 0.*I, 8.117631788984172*^-6 + 0.*I, 0.000012043352404234044 + 0.*I, 0.000017175840194560976 + 0.*I, 8.401876083752313*^-7 + 0.*I, 0.000011357752005558552 + 0.*I, 4.5402190007592935*^-6 + 0.*I, 8.003602003370248*^-7 + 0.*I, 8.36891889122171*^-8 + 0.*I, 5.8735905028584065*^-9 + 0.*I, 3.3719693703915254*^-10 + 0.*I}
{0.023098058650999898 + 0.*I, 0.07099499758760341 + 0.*I, 0.006099944856186036 + 0.*I, 0.14005283208540223 + 0.*I, 0.13199358646940332 + 0.*I, 0.08651107371140387 + 0.*I, 0.01921187788040957 + 0.*I, 0.0023351950418026846 + 0.*I, 0.0001821601433915632 + 0.*I, 7.283638603361454*^-6 + 0.*I, 5.479678044650882*^-7 + 0.*I, 2.2929792065085053*^-6 + 0.*I, 8.078402014000119*^-6 + 0.*I, 0.000012201939592060285 + 0.*I, 0.000017140889396749515 + 0.*I, 1.3513489882654994*^-6 + 0.*I, 0.000011583260217662428 + 0.*I, 4.7476370168553225*^-6 + 0.*I, 8.517907934546544*^-7 + 0.*I, 9.045559856701858*^-8 + 0.*I, 6.439804245417236*^-9 + 0.*I, 3.76010333980048*^-10 + 0.*I}
{0.01583841583380763 + 0.*I, 0.08133681711759433 + 0.*I, 0.001468672764404211 + 0.*I, 0.14433182140161094 + 0.*I, 0.12954736755281804 + 0.*I, 0.0879215340792161 + 0.*I, 0.019903357622608198 + 0.*I, 0.0024585294706058747 + 0.*I, 0.00019466077059160372 + 0.*I, 8.003885598739657*^-6 + 0.*I, 4.900021943754496*^-7 + 0.*I, 2.2866005977562054*^-6 + 0.*I, 8.025205189277074*^-6 + 0.*I, 0.00001234108080172547 + 0.*I, 0.00001707986880816748 + 0.*I, 1.880813194077291*^-6 + 0.*I, 0.000011803680188826604 + 0.*I, 4.9615614061693245*^-6 + 0.*I, 9.059689887180867*^-7 + 0.*I, 9.770360076544195*^-8 + 0.*I, 7.055001027822527*^-9 + 0.*I, 4.1799896877137144*^-10 + 0.*I}
{0.008632224070809214 + 0.*I, 0.09158204120900404 + 0.*I, 0.008913500637208749 + 0.*I, 0.1484255710133997 + 0.*I, 0.12699421759680973 + 0.*I, 0.0893127598092125 + 0.*I, 0.020610368574192073 + 0.*I, 0.0025870884994061427 + 0.*I, 0.00020790284940286344 + 0.*I, 8.784176386278375*^-6 + 0.*I, 4.2433441205247396*^-7 + 0.*I, 2.2795670018282976*^-6 + 0.*I, 7.957780190359642*^-6 + 0.*I, 0.000012460105613953942 + 0.*I, 0.00001699225440354724 + 0.*I, 2.4283251853773895*^-6 + 0.*I, 0.000012018445194605933 + 0.*I, 5.1820419955106445*^-6 + 0.*I, 9.630072073107954*^-7 + 0.*I, 1.0546279405332372*^-7 + 0.*I, 7.723399697567858*^-9 + 0.*I, 4.643840867402105*^-10 + 0.*I}
{0.001484715518002 + 0.*I, 0.10171951237578636 + 0.*I, 0.01622513908079437 + 0.*I, 0.15233063789279466 + 0.*I, 0.12433563421059281 + 0.*I, 0.09068311932041163 + 0.*I, 0.021332879886992732 + 0.*I, 0.0027210269460065106 + 0.*I, 0.00022192282180810707 + 0.*I, 9.628739405798115*^-6 + 0.*I, 3.503987988651147*^-7 + 0.*I, 2.271978005730091*^-6 + 0.*I, 7.8758887855912*^-6 + 0.*I, 0.000012558371609294738 + 0.*I, 0.000016877561392902862 + 0.*I, 2.9935905976330446*^-6 + 0.*I, 0.000012226974210882703 + 0.*I, 5.409121195398824*^-6 + 0.*I, 1.023019402524028*^-6 + 0.*I, 1.1376399822182749*^-7 + 0.*I, 8.449396737830739*^-9 + 0.*I, 5.157874127803552*^-10 + 0.*I}
