{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.04230702358940519 + 0.*I, 0.872445722306403 + 0.*I, 0.872569254413791 + 0.*I, 0.041711542033384674 + 0.*I, 0.0004696199362053122 + 0.*I, 2.323069203669093*^-6 + 0.*I, 6.438805044695074*^-9 + 0.*I, 1.2589929099249277*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.792167077193882*^-12 + 0.*I, 1.1532108601386426*^-9 + 0.*I, 3.9457592748703973*^-8 + 0.*I, 6.641499156190315*^-8 + 0.*I, 2.5315793905633655*^-8 + 0.*I, 4.702016553892463*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.046243814435209536 + 0.*I, 0.8605030689489814 + 0.*I, 0.8606510685323921 + 0.*I, 0.04552899169780744 + 0.*I, 0.000563750348003822 + 0.*I, 3.063469611319647*^-6 + 0.*I, 9.322786986842859*^-9 + 0.*I, 1.8807178037150152*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.518785097687214*^-11 + 0.*I, 1.5185852575427816*^-9 + 0.*I, 4.710039025468405*^-8 + 0.*I, 7.948099955967792*^-8 + 0.*I, 3.02195823920215*^-8 + 0.*I, 6.194156298988673*^-10 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.05032856836499899 + 0.*I, 0.8480969017382157 + 0.*I, 0.8482727080636022 + 0.*I, 0.04947769382319667 + 0.*I, 0.0006710653514208077 + 0.*I, 3.989566188522531*^-6 + 0.*I, 1.32770017202688*^-8 + 0.*I, 2.9198865547641623*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 2.1604940059205546*^-11 + 0.*I, 1.973998742244021*^-9 + 0.*I, 5.5733795356616156*^-8 + 0.*I, 9.430439346092028*^-8 + 0.*I, 3.5758818128783794*^-8 + 0.*I, 8.05200350839641*^-10 + 0.*I, 4.796163466380677*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.05455668614120502 + 0.*I, 0.8352392528216069 + 0.*I, 0.8354464610669909 + 0.*I, 0.05355166401219691 + 0.*I, 0.000792658843407068 + 0.*I, 5.136380010206665*^-6 + 0.*I, 1.8622792197220406*^-8 + 0.*I, 4.4009240696141205*^-11 + 0.*I, 1.021405182655144*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.099742684753438*^-11 + 0.*I, 2.536615362203065*^-9 + 0.*I, 6.542280051036187*^-8 + 0.*I, 1.1101361080401206*^-7 + 0.*I, 4.197540093286989*^-8 + 0.*I, 1.0347944723321234*^-9 + 0.*I, 7.216449660063519*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.05892340616919788 + 0.*I, 0.821942578590984 + 0.*I, 0.8221850417484023 + 0.*I, 0.05774472336819159 + 0.*I, 0.0009296503177935733 + 0.*I, 6.543508601630776*^-6 + 0.*I, 2.5757795896197425*^-8 + 0.*I, 6.559197629485425*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 4.2987835513486055*^-11 + 0.*I, 3.2247982062472147*^-9 + 0.*I, 7.622860120903852*^-8 + 0.*I, 1.2973660062920445*^-7 + 0.*I, 4.8908588290430544*^-8 + 0.*I, 1.3159917600091833*^-9 + 0.*I, 1.0391687510491465*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.06342380973081153 + 0.*I, 0.8082197459573948 + 0.*I, 0.8085015756031934 + 0.*I, 0.06205050727738916 + 0.*I, 0.0010831820833834271 + 0.*I, 8.25546437877023*^-6 + 0.*I, 3.517020008558803*^-8 + 0.*I, 9.658940314238863*^-11 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.899725152858082*^-11 + 0.*I, 4.059796943067795*^-9 + 0.*I, 8.820959518374138*^-8 + 0.*I, 1.5060159785917904*^-7 + 0.*I, 5.659599455754005*^-8 + 0.*I, 1.6564083438197488*^-9 + 0.*I, 1.4410694859634534*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.06805282638480126 + 0.*I, 0.7940840181812181 + 0.*I, 0.7944095840936028 + 0.*I, 0.0664624744556086 + 0.*I, 0.0012544164142092031 + 0.*I, 0.000010322016397168454 + 0.*I, 4.745259740701613*^-8 + 0.*I, 1.4019896354966477*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 8.000267115448879*^-11 + 0.*I, 5.0645931892745474*^-9 + 0.*I, 1.0142280348901521*^-7 + 0.*I, 1.737338023444224*^-7 + 0.*I, 6.507401284494563*^-8 + 0.*I, 2.0663915023533264*^-9 + 0.*I, 1.978417429882029*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.07280523953079322 + 0.*I, 0.7795490402803918 + 0.*I, 0.7799229688804089 + 0.*I, 0.07097391624639739 + 0.*I, 0.001444532632000062 + 0.*I, 0.000012798539983371882 + 0.*I, 6.331961621697246*^-8 + 0.*I, 2.0099477637813837*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.0660361482450752*^-10 + 0.*I, 6.264588847670894*^-9 + 0.*I, 1.159195850419792*^-7 + 0.*I, 1.9925700533995902*^-7 + 0.*I, 7.437559457201814*^-8 + 0.*I, 2.555999856213021*^-9 + 0.*I, 2.6201263381153698*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.07767569213301684 + 0.*I, 0.764628824031588 + 0.*I, 0.7650559956235982 + 0.*I, 0.0755779661519851 + 0.*I, 0.0016547241274089686 + 0.*I, 0.000015746359993684678 + 0.*I, 8.362601722211593*^-8 + 0.*I, 2.845945701324127*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 0. + 0.*I, 1.4059864383852985*^-10 + 0.*I, 7.688405467831673*^-9 + 0.*I, 1.3174881186017728*^-7 + 0.*I, 2.2729180482183867*^-7 + 0.*I, 8.453260313956433*^-8 + 0.*I, 3.1368019293154248*^-9 + 0.*I, 3.4994229736184934*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.082658692590587 + 0.*I, 0.7493377325809903 + 0.*I, 0.7498232773790026 + 0.*I, 0.0802676095897903 + 0.*I, 0.0018861953261950506 + 0.*I, 0.00001923309880247359 + 0.*I, 1.0938858707731926*^-7 + 0.*I, 3.977929097231936*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.8440804439023853*^-10 + 0.*I, 9.36661859185506*^-9 + 0.*I, 1.4895400468617484*^-7 + 0.*I, 2.579554070347712*^-7 + 0.*I, 9.5572394442911*^-8 + 0.*I, 3.821609695364714*^-9 + 0.*I, 4.6207482284899015*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.08774862075440204 + 0.*I, 0.7336904646859878 + 0.*I, 0.7342397576074022 + 0.*I, 0.0850356938551844 + 0.*I, 0.002140158603580744 + 0.*I, 0.000023333022003413365 + 0.*I, 1.418078099391096*^-7 + 0.*I, 5.504041666881676*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 2.394084930301688*^-10 + 0.*I, 1.1333400884439017*^-8 + 0.*I, 1.6757319976079543*^-7 + 0.*I, 2.913600027909524*^-7 + 0.*I, 1.0751981527334921*^-7 + 0.*I, 4.624212124326733*^-9 + 0.*I, 6.039613253960852*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.09293973407760173 + 0.*I, 0.7177020386019973 + 0.*I, 0.7183206928199849 + 0.*I, 0.08987493828060968 + 0.*I, 0.002417831157597306 + 0.*I, 0.000028127381002107658 + 0.*I, 1.8229460163610156*^-7 + 0.*I, 7.543965452327939*^-10 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 3.070210752298408*^-10 + 0.*I, 1.3623790984240715*^-8 + 0.*I, 1.8763819387146444*^-7 + 0.*I, 3.2761300061689985*^-7 + 0.*I, 1.203952049166901*^-7 + 0.*I, 5.558198346022892*^-9 + 0.*I, 7.738254481637342*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.09822617390278232 + 0.*I, 0.7013877756424148 + 0.*I, 0.7020816348779936 + 0.*I, 0.09477794456880241 + 0.*I, 0.0027204318403972754 + 0.*I, 0.00003370474781494437 + 0.*I, 2.324946013487761*^-7 + 0.*I, 1.0230039038106042*^-9 + 0.*I, 4.596323321948148*^-12 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 3.9162006970627777*^-10 + 0.*I, 1.6278600689645373*^-8 + 0.*I, 2.091758100064567*^-7 + 0.*I, 3.668167991577321*^-7 + 0.*I, 1.342159938744203*^-7 + 0.*I, 6.64119870208424*^-9 + 0.*I, 9.900968933607146*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.10360197186138899 + 0.*I, 0.6847632834177997 + 0.*I, 0.6855384129780041 + 0.*I, 0.09973720729861135 + 0.*I, 0.0030491779609898018 + 0.*I, 0.000040161351599898865 + 0.*I, 2.9431999060136604*^-7 + 0.*I, 1.3747891713933316*^-9 + 0.*I, 5.59552404411079*^-12 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 4.958033983371024*^-10 + 0.*I, 1.9339796430983824*^-8 + 0.*I, 2.322052106151773*^-7 + 0.*I, 4.0906580067723297*^-7 + 0.*I, 1.489943945998107*^-7 + 0.*I, 7.889600084354242*^-9 + 0.*I, 1.256106330060902*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.10906105639600928 + 0.*I, 0.6678444387858029 + 0.*I, 0.6687071153335999 + 0.*I, 0.10474512457481212 + 0.*I, 0.003405282059398829 + 0.*I, 0.000047601402797248234 + 0.*I, 3.6998260011245065*^-7 + 0.*I, 1.8320012173944635*^-9 + 0.*I, 7.394085344003543*^-12 + 0.*I, 7.216449660063519*^-12 + 0.*I, 6.225908677492953*^-10 + 0.*I, 2.285198696938551*^-8 + 0.*I, 2.567379864260033*^-7 + 0.*I, 4.544489951019415*^-7 + 0.*I, 1.647382008584941*^-7 + 0.*I, 9.322209670870052*^-9 + 0.*I, 1.580069408646523*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.11459725938820499 + 0.*I, 0.6506473705292005 + 0.*I, 0.6516040705857985 + 0.*I, 0.10979400881239167 + 0.*I, 0.003789948661814258 + 0.*I, 0.00005613741078658308 + 0.*I, 4.6202539571993384*^-7 + 0.*I, 2.421196576563034*^-9 + 0.*I, 9.992007221626409*^-12 + 0.*I, 1.0014211682118914*^-11 + 0.*I, 7.768008458697295*^-10 + 0.*I, 2.68643995937623*^-8 + 0.*I, 2.8277860053549375*^-7 + 0.*I, 5.03046201916213*^-7 + 0.*I, 1.8144998836788775*^-7 + 0.*I, 1.0958389751181132*^-8 + 0.*I, 1.9739765377835283*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.1202043228831995 + 0.*I, 0.6331884417756007 + 0.*I, 0.6342458289619879 + 0.*I, 0.11487609764220254 + 0.*I, 0.004204371020799513 + 0.*I, 0.00006589049259542179 + 0.*I, 5.733618024805764*^-7 + 0.*I, 3.1751934415069627*^-9 + 0.*I, 1.2989609388114333*^-11 + 0.*I, 1.3411494137471893*^-11 + 0.*I, 9.628076114154283*^-10 + 0.*I, 3.1428215585549424*^-8 + 0.*I, 3.103223900069452*^-7 + 0.*I, 5.549296078211087*^-7 + 0.*I, 1.9912758109086329*^-7 + 0.*I, 1.2819589834123237*^-8 + 0.*I, 2.449818126137871*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.12587590591182085 + 0.*I, 0.615484232191399 + 0.*I, 0.6166491432066046 + 0.*I, 0.11998356491860208 + 0.*I, 0.004649727849415086 + 0.*I, 0.0000769906703945722 + 0.*I, 7.073162056059346*^-7 + 0.*I, 4.133782205428816*^-9 + 0.*I, 1.7608137170554983*^-11 + 0.*I, 1.780797731498751*^-11 + 0.*I, 1.186406528574935*^-9 + 0.*I, 3.659839098446582*^-8 + 0.*I, 3.393561875952855*^-7 + 0.*I, 6.10162204095488*^-7 + 0.*I, 2.1776218606106568*^-7 + 0.*I, 1.4927814540044437*^-8 + 0.*I, 3.020028671585351*^-10 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.1316055913927805 + 0.*I, 0.5975515199602155 + 0.*I, 0.5988309493088151 + 0.*I, 0.1251085318128009 + 0.*I, 0.005127180052411085 + 0.*I, 0.00008957715620372397 + 0.*I, 8.676648066696657*^-7 + 0.*I, 5.344191755796147*^-9 + 0.*I, 2.3803181647963356*^-11 + 0.*I, 2.34035013590983*^-11 + 0.*I, 1.4532153258528524*^-9 + 0.*I, 4.243261297887103*^-8 + 0.*I, 3.6985838836045565*^-7 + 0.*I, 6.687969955621043*^-7 + 0.*I, 2.3734001430852916*^-7 + 0.*I, 1.730640075692236*^-8 + 0.*I, 3.6999292518657967*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
