t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14,C_1_15
0.55,0.07534912791959227,0.0,0.9691489207090215,0.02775884135674438,0.009947614106662096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.07897549028551581,0.0,0.968485456231222,0.017266129919885943,0.009813132747341318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,0.07069136279799942,0.0,0.9684050652567628,0.01040347581037255,0.010768117396992209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.07048771480899513,0.0,0.9693160756241138,0.0,0.00976117554177344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.05964555263271388,0.0,0.970721430975505,0.004315179944955301,0.009887029892210958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.054135262423597855,0.0,0.9729613603539378,0.011730500976668,0.00982150982965289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.043453102573491074,0.0,0.9754629607909459,0.020328800050072354,0.010215708913948102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.03317675439296737,0.0,0.9783812581845965,0.03334081931463218,0.010499462827962146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.02398626475990437,0.0,0.9812705345497521,0.038774217022150614,0.009330169676132231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.01000109925181429,0.0,0.9840473981876234,0.050381476974995544,0.010992057287709203,0.00017074830922553393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0034946834548786505,0.0,0.9865899451808159,0.058234874595871323,0.011222293375910663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.00042995284611899035,0.0,0.9885087993462827,0.0672605846664292,0.009016944939268303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
