t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14,Cxx_1_15
0.35000000000000003,-0.004551057310900499,0.9998881170696894,-0.9668470581130427,-0.027808616284328447,-0.0005530495511259243,-2.535234900892351e-05,6.609086699974759e-06,2.792124538693319e-05,2.151895770100519e-05,1.1191771113883489e-05,8.2037250798625e-06,-4.137305663628153e-05,-0.0013024689861369388,0.001471865017546049,-0.0001507950310640927,-1.272305701344352e-05
0.36,-0.0040231310560208434,0.999989321304099,-0.9688042696592747,-0.02657245090957137,-0.0005471250838002574,4.944058732934964e-06,1.4401525397620199e-05,1.8652886530426405e-05,1.0934764831603203e-05,7.855986095911711e-06,8.859113174485792e-06,-3.6071474626854245e-05,-0.0013685872211115732,0.0015175664351374566,-7.820662706898435e-05,1.2499777140947965e-05
0.37,-0.003331137036256632,0.9999993212477938,-0.970751695445154,-0.025259222203706425,-0.000538471188409958,8.153508157463375e-06,5.597616327262535e-06,-1.983117853802084e-05,-1.4765553013025155e-05,-9.15781110477252e-06,-8.582754057958686e-06,-5.925785952242161e-05,-0.0014611382767578947,0.0015491269298314445,-4.912201540534309e-05,-8.006530133544123e-06
0.38,-0.0026754968842658024,0.9999968551401663,-0.9728644740534015,-0.023870765727846858,-0.0005300175116284705,-1.782475562117354e-05,-1.0172431274277707e-07,-8.822928691024599e-07,2.248787646866616e-06,1.7431453394082738e-06,1.5326540928374544e-06,-4.4914371187247453e-05,-0.0015299270178565274,0.0015715439510630167,1.4487368449613578e-05,4.852509811582124e-06
0.39,-0.0019288974551398836,0.9999996418624691,-0.9749786008751357,-0.022471294173979764,-0.0005063766874842832,-1.4286060787325658e-05,1.5073590131629649e-05,3.215768816607501e-05,2.211674712802457e-05,1.6817936444992864e-05,5.219501696489574e-06,-4.6783246505348146e-05,-0.0015709644061723317,0.0015784569290707838,6.124853253746722e-05,3.8683994734280483e-07
0.4,-0.0013106113128609244,0.9999636160456336,-0.977089479017626,-0.020998295693347005,-0.0005127623244154849,9.076554537888921e-06,1.4922222262627252e-05,4.08606125602666e-06,-9.362982075532614e-07,-4.002477349301058e-06,-3.6697181763321873e-06,-8.074603927219186e-05,-0.001636509883468972,0.0015709324410701385,0.0001058824768514861,-5.5807490117664935e-06
0.41000000000000003,-0.0007161924154525084,0.9997896317476204,-0.9789907440334759,-0.019511386180154307,-0.00046680531929827775,-1.4048035720335555e-06,-4.290130799876682e-06,-2.238335396848208e-05,-1.4926849831736408e-05,-1.3732381284393622e-05,-1.259415866514818e-06,-3.757811284992377e-05,-0.001634594597841819,0.0015492315283799785,0.00016983372187428895,9.605281321656278e-06
0.42,-0.00030184445420915196,0.9993417303980464,-0.98051451772135,-0.01797069274673539,-0.0004697592521781535,-2.5730520593663514e-05,3.9291897428878064e-06,1.1470953521303118e-05,1.044234280939138e-05,1.3660370485051032e-05,-3.1839271375962153e-06,-7.013575953853865e-05,-0.0016595219060753855,0.0015100119821299836,0.000190690505297339,-1.5197203594594089e-05
0.43,-4.247835457039245e-05,0.9984615277850798,-0.9814727471497884,-0.016455937422536794,-0.0004601923536130953,-3.3065925257105833e-06,2.2140506371330637e-05,2.772583321421218e-05,1.5604729211707302e-05,1.1091060809285958e-05,-9.426022494762876e-07,-7.585241763465034e-05,-0.001644918220227054,0.0014595178096638226,0.00026292637230001387,1.5955503951330108e-05
0.44,2.4568436285787865e-05,0.9969941954808466,-0.9816305290657236,-0.014846051044167467,-0.0003928545625627791,1.2438340117604252e-05,3.827647225500275e-06,-1.1476523232988034e-05,-1.1849440859725002e-05,-2.0370895727518656e-05,1.492889847361234e-06,-4.181153734131304e-05,-0.0016012856063938805,0.0013928498204640177,0.0002616209031734984,-2.0061815212434053e-05
