t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14
0.75,0.27893726860368284,,1.0118605334260589,0.20981409076034202,0.10743980709002912,0.08032910371760126,0.07210975438747208,0.06483138324694697,0.05644708313009154,0.031188762703050384,0.019831678549025233,0.029288376775144582,0.050334296518741904,0.05319752883022882,0.07127040185668425
0.76,0.2771036877264208,,1.0023645558083398,0.21028364271745548,0.10687227725779497,0.08114719525865251,0.07292770368331974,0.06558206684971686,0.056985538559633106,0.03126948487432609,0.021521493613534663,0.029387708005381923,0.05065861904897361,0.05360741840827619,0.07076105011065197
0.77,0.2752471694289514,,0.9977291316869319,0.21082828843016593,0.10626507805308591,0.08193426769795811,0.07373637326282922,0.06632590549588119,0.057534077897448785,0.03139927013251547,0.02312730054988445,0.029548275298396844,0.050994649423252734,0.05401907186368295,0.07012954666826644
0.78,0.2733828650388103,,0.99753883075224,0.21144470016152572,0.10562874654359504,0.08269397516450396,0.0745390347033328,0.06706528328550874,0.058096402515906635,0.03160103171733536,0.024638481489791253,0.029775464943079498,0.05134622255374074,0.05443513748667625,0.06937883274759284
0.79,0.2715256922174504,,0.9973350650768633,0.21212831748075625,0.1049733939186141,0.08343000661645729,0.07533878678198991,0.06780238840064633,0.05867594864390735,0.03189727785920592,0.026045103245794156,0.030074152891828576,0.05171693871676459,0.05485800942252497,0.06851232134512532
0.8,0.26969043868915554,,0.9971172600592169,0.21287359658547625,0.10430875729090114,0.08414601754587614,0.07613848627606029,0.06853917763204798,0.059275833926119174,0.032262250527224895,0.027338013774870516,0.03044859779341568,0.05211013277710849,0.055289832129324076,0.06753391049133856
0.81,0.26789168806046215,,0.9968848425274479,0.21367410724324595,0.10364412607509804,0.08484566585455412,0.07694079863208358,0.06927746841622291,0.05989893954275209,0.03269916259908402,0.0285087479870742,0.03090244779921108,0.052529736126990904,0.055732368955669666,0.06644780344045037
0.8200000000000001,0.26614376142458795,,0.9966372428453043,0.21452253966553178,0.10298822763333929,0.08553253064444791,0.077748086607292,0.07001881671626733,0.060547775313277416,0.03321057828911711,0.02954969874581261,0.0314386493154139,0.05297749890962209,0.05618706329894821,0.06525860587078036
0.8300000000000001,0.264460620013449,,0.9963738957360512,0.2154107311527942,0.10234910491032775,0.08621009363244456,0.07856238535516903,0.07076449964380413,0.06122444923862657,0.033798376909708716,0.03045415812762891,0.03205941352446562,0.053455469726677356,0.056655002920959895,0.06397127926735516
0.84,0.2636331928606499,,0.9960942430756019,0.21632981355221753,0.10173411755129427,0.0868816735007097,0.07938537759544348,0.07151553393428904,0.06193070207940062,0.034463715076120185,0.03121640936785292,0.032766244689254174,0.05396531840805887,0.05713691133592615,0.06259111683721523
0.85,0.26350721677003464,,0.9957977367847046,0.21727039354253364,0.1011499383877118,0.08755038319525188,0.08021835147710352,0.07227265256177666,0.06266786637759286,0.035207011497927966,0.0318317688929714,0.03355987993854449,0.054508247501194707,0.05763314946582826,0.06112373676828133
0.86,0.26354647090183947,,0.9954838367949678,0.2182225136016483,0.1006023600229942,0.08821920050564656,0.08106228542809112,0.07303640109211443,0.06343694659514909,0.03602782854594756,0.03229640214628151,0.0344403417295432,0.05508511228801634,0.0581435709171871,0.05957485302174655
0.87,0.2637631556305189,,0.9951520152521303,0.21917573956295225,0.10009629003501973,0.08889082745319771,0.0819176556418031,0.07380692465412456,0.06423840168216496,0.03692504848259036,0.0326076445843569,0.03540680859423026,0.0556961483382321,0.05866770687064621,0.05795053725511948
0.88,0.2641688160320445,,0.9948017579166114,0.22011924672748967,0.09963568493275002,0.08956769262731944,0.08278444265740843,0.07458398456851399,0.06507215198078352,0.037899160184069684,0.03276399984175148,0.0364576243507445,0.05634098759662858,0.059204728093796795,0.056257157229763446
0.89,0.2647743462772761,,0.9974535128582213,0.22104203085470187,0.09922366803044828,0.0902518960699218,0.083662190970328,0.07536711413780288,0.06593778192840977,0.039034896634863744,0.03276501425530204,0.037590425291764394,0.057018888473416816,0.0597533857429645,0.05450118424320832
