t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.58,-2.4665599424045226e-17,1.4186785426972826e-16,8.635670303847043e-17,8.635670303847043e-17,-1.3568790188656088e-16,-3.854338723185968e-17,-8.017675065530305e-17,-3.854338723185968e-17,-9.752398541507112e-17,-6.62989628474886e-17,3.0899761915836876e-18,-4.6349642873755315e-17,-7.171997370991612e-17,-6.65158032819857e-17,-6.516055056637882e-17
0.59,1.382899871005261e-16,2.7267684638010437e-17,-8.375461782450522e-17,2.7267684638010437e-17,-5.59990422088763e-17,-1.253879812479486e-16,-8.375461782450522e-17,-9.763240563231967e-17,-5.252959525692269e-17,-5.59990422088763e-17,1.2468324983583301e-18,-5.079487178094588e-17,-7.052735132018206e-17,-6.705790436822845e-17,-6.440160904563896e-17
0.6,-2.9652929417478546e-17,2.585822181377928e-17,-2.9652929417478546e-17,-2.9652929417478546e-17,-5.740850503310746e-17,-5.740850503310746e-17,-1.1291965626436529e-16,-4.3530717225293e-17,-5.740850503310746e-17,-4.3530717225293e-17,-7.968885967768458e-18,-4.569912157026401e-17,-7.215365457891032e-17,-6.413055850251759e-17,-5.805902633659876e-17
0.61,9.259086553026208e-17,1.481020167615199e-16,1.481020167615199e-16,9.259086553026208e-17,-1.8431436932253575e-17,-8.782037597132586e-17,-3.230922474006803e-17,-8.782037597132586e-17,-6.700369425960417e-17,-5.833007687972014e-17,6.505213034913027e-19,-4.87890977618477e-17,-7.524363077049401e-17,-6.548581121812447e-17,-6.028164079019405e-17
0.62,5.616167253474913e-17,6.505213034913027e-19,-1.1037178115902435e-16,-8.261620554339544e-17,2.8406096919120216e-17,-1.3227266504323154e-17,-5.4860629927766524e-17,-5.4860629927766524e-17,-6.873841773558098e-17,-5.139118297581291e-17,-1.951563910473908e-18,-5.572799166575493e-17,-8.370040771588094e-17,-7.32920668600201e-17,-6.678685382510707e-17
0.63,-1.2544219135657286e-16,-6.993104012531504e-17,-6.993104012531504e-17,-1.2544219135657286e-16,-1.809533425878307e-16,-1.441988889405721e-17,-1.2544219135657286e-16,-2.8297676701871666e-17,-5.605325231750058e-17,-6.646159317336142e-17,6.396792817664476e-18,-5.865533753146579e-17,-8.402566836762659e-17,-7.37257477290143e-17,-6.765421556309548e-17
0.64,-1.2544219135657286e-16,-6.993104012531504e-17,-1.441988889405721e-17,-1.441988889405721e-17,1.3335686721571705e-17,-6.993104012531504e-17,-4.911435841359335e-17,-5.2583805365546965e-17,-1.7889335846010823e-17,-3.870601755773251e-17,9.86623976961809e-18,-3.957337929572091e-17,-6.559423143537302e-17,-5.887217796596289e-17,-5.5077470362263625e-17
0.65,-9.475926987523309e-17,-1.5027042110649091e-16,-1.5027042110649091e-16,-1.5027042110649091e-16,-9.475926987523309e-17,-5.312590645178972e-17,-5.312590645178972e-17,-7.39425881635114e-17,-8.782037597132586e-17,-4.2717565595928875e-17,1.2793585635328952e-17,-3.1008182133085427e-17,-6.266688556966216e-17,-6.570265165262157e-17,-5.876375774871434e-17
0.66,8.565197162635485e-17,-1.3639263329867646e-16,-1.9190378452993428e-16,-2.5370330836160804e-17,-9.475926987523309e-17,-5.312590645178972e-17,-2.5370330836160804e-17,-3.924811864397526e-17,-7.39425881635114e-17,-7.047314121155779e-17,1.6263032587282567e-17,-4.2717565595928875e-17,-6.873841773558098e-17,-6.635317295611287e-17,-6.331740687315346e-17
0.67,2.710505431213761e-18,-1.0831179703130189e-16,-1.0831179703130189e-16,-5.2800645800044066e-17,-1.2218958483911635e-16,-8.055622141567298e-17,-1.8106176280507924e-17,-5.97395397039513e-17,-4.2392304944183223e-17,-3.892285799222961e-17,1.485356976305141e-17,-3.71881345162528e-17,-6.277530578691071e-17,-6.407634839389331e-17,-6.136584296267955e-17
0.68,-9.80118763926896e-17,-4.2500725161431774e-17,-4.2500725161431774e-17,-1.5352302762394743e-16,-7.025630077706069e-17,-7.025630077706069e-17,-7.719519468096792e-17,-9.107298248878237e-17,-5.2909066017292616e-17,-6.678685382510707e-17,1.474514954580286e-17,-3.382710778154774e-17,-6.353424730765056e-17,-6.375108774214766e-17,-6.266688556966216e-17
0.6900000000000001,-2.6422006943471743e-16,-2.6422006943471743e-16,-2.087089182034596e-16,-4.217546450968612e-17,-2.8297676701871666e-17,-1.2544219135657286e-16,-1.0462550964485118e-16,-4.217546450968612e-17,-7.340048707726865e-17,-5.605325231750058e-17,1.4203048459560108e-17,-3.957337929572091e-17,-6.602791230436722e-17,-6.537739100087592e-17,-6.299214622140781e-17
0.7000000000000001,-1.5569143196891844e-16,-4.466912950640278e-17,-4.466912950640278e-17,6.635317295611287e-17,-1.5569143196891844e-16,-5.854691731421724e-17,-1.0018028073766061e-16,-9.324138683375338e-17,-7.936359902593892e-17,-7.24247051220317e-17,9.974659986866641e-18,-4.2934406030425976e-17,-7.719519468096792e-17,-7.28583859910259e-17,-7.296680620827445e-17
0.71,-1.0885389811754465e-16,-3.3089850304257595e-16,-2.7538735181131813e-16,-1.0885389811754465e-16,-2.5587171270657905e-17,2.168404344971009e-18,-9.497611030973019e-17,-8.109832250191573e-17,-7.41594285980085e-17,-6.722053469410127e-17,4.336808689942018e-19,-5.204170427930421e-17,-8.803721640582296e-17,-7.697835424647081e-17,-7.383416794626285e-17
0.72,-2.4492127076447545e-16,-2.4492127076447545e-16,-2.4492127076447545e-16,3.2634485391813683e-17,-1.0614339268633088e-16,-7.838781707070197e-17,-7.838781707070197e-17,-1.2349062744609896e-16,-8.879615792656281e-17,-7.491837011874836e-17,6.613633252161577e-18,-5.063224145507306e-17,-8.142358315366138e-17,-8.055622141567298e-17,-7.448468924975415e-17
