t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14
0.53,0.025284048027191666,0.0,0.99686012203808,0.05212409831009576,0.001985355508471714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.02482751186228327,0.0,0.99707005671528,0.04676213739220907,0.0015907032914848633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.020963714235081757,0.0,0.9970674100516195,0.03968894746689987,0.0010203330215969788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.013447571090741376,0.0,0.9966395446242872,0.03197354404171925,0.0009812738765094466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,0.0034165667633981284,0.0,0.995923639270697,0.023316706937660324,0.0005840867876898946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.005676917315962984,0.0,0.9953151529805994,0.013507107063077185,0.000499522839537997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.015538167873308258,0.0,0.9951867973403583,0.0036437541212562957,0.00013724962884476184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.02296953091948895,0.0,0.995636004695461,0.004739467509404887,0.0007148125252721985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.02621017307006935,0.0,0.9964036272148645,0.014370410435919918,0.0002365967334536604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.025497907030895533,0.0,0.9970805972907311,0.02373913183247551,0.00022950255547668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.021352476142014697,0.0,0.9973968355062287,0.0328169303447262,0.0006202935011648312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.014493629337957115,0.0,0.9973477299117401,0.040389772059283624,0.00010439421410878907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0054240109606046565,0.0,0.9970780767068577,0.047029851208856714,0.00026915882027791983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.003475661044665178,0.0,0.9967022283775552,0.053004034765469735,0.00017219800344978994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.67,0.012785818941873476,0.0,0.9961885945105172,0.05735696538467356,0.0005682177778700087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.020692205599838587,0.0,0.9953983174437174,0.06037806842247647,0.0003354532299517672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6900000000000001,0.025835762353297778,0.0,0.9943118937540515,0.06232775021921302,0.00094332082690553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.026679443940847158,0.0,0.9931803275399631,0.0624519432825396,0.0012322207341836553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
