t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.4,-0.027876430367939617,0.999019524848308,-0.49898545317097365,-0.018759761284611765,0.0040337139705595645,0.0050317069439645215,0.005042434722662324,0.0049823747384087486,0.004860314272399791,0.0025930427928561005,0.0004419848331757015,0.0024463003472645385,0.004549068987029295,0.004619252593521944,0.0028822344923818168
0.41000000000000003,-0.029589377803976698,0.9988344944036605,-0.4799740237521465,-0.019407292302319527,0.00457611195737561,0.0056510930540391476,0.005649563856842239,0.005574584424731143,0.005431436403671656,0.002908688268309225,0.0005234963149983833,0.002741247593262674,0.005075597486032878,0.005160472270945619,0.003260553824320632
0.42,-0.0312964742665563,0.9986240200913381,-0.4610399934790162,-0.01997927242100877,0.005160692641246814,0.0063143424915651745,0.00629896527131139,0.006207569088903634,0.006041197496863972,0.003247988766361693,0.0006166200204562947,0.003058229328433689,0.005637272680977436,0.005739070245315031,0.003673326908673731
0.43,-0.03298779414228246,0.9983860721470895,-0.44221237565638166,-0.02046738733672658,0.005787559737880067,0.007021186247727521,0.00699038798875265,0.006881079999852491,0.006689269337407697,0.0036111924407816118,0.0007224792276352421,0.003397497904536237,0.006233783341036688,0.006354919495527481,0.004122090859318528
0.44,-0.03465312194484039,0.9981186436238433,-0.42351982962553447,-0.020863784963205925,0.0064565175152926126,0.007771028232925456,0.007723275462780187,0.007594578101599844,0.0073750391490503275,0.003998416002333485,0.0008422310888478654,0.003759186769716559,0.006864562364169623,0.007007630943909771,0.004608326203387417
0.45,-0.036281995365478444,0.9978197763435562,-0.40499067866599886,-0.021161144720654383,0.007167044631373767,0.00856291694920137,0.0084967376222874,0.00834720559530799,0.008097579928668677,0.0044096198207909144,0.0009770962313089895,0.004143286023100365,0.007528757170925389,0.007696522497944912,0.00513343084933315
0.46,-0.03786378728319111,0.9974875843331578,-0.38665282625883013,-0.021352782824246123,0.007918305197850754,0.009395563706503064,0.009309568980875624,0.00913780498825192,0.008855671910441346,0.004844625374626727,0.0011283110644545319,0.004549660200929617,0.008225252538969614,0.008420635356851114,0.00569872455734545
0.47000000000000003,-0.0393877786951648,0.9971202784061045,-0.3685337067584695,-0.021432736470847542,0.008709156045709196,0.010267353472721442,0.01016025837107518,0.009964929242782791,0.009647816297766884,0.005303124268863736,0.0012970984075720768,0.00497805774285999,0.008952685230480463,0.009178740670775152,0.0063054455020657985
0.48,-0.040843225446090314,0.9967161888594203,-0.3506600638032166,-0.021395824482452204,0.0095381230384461,0.011176332497229553,0.011046977266992209,0.010826828927019,0.010472214365702216,0.0057846345170459446,0.001484736452904093,0.0054280653649728915,0.009709419972627437,0.00996932021309498,0.006954732219639409
0.49,-0.04221942683818968,0.996273790582995,-0.3330579843374288,-0.021237720833353003,0.010403415743534723,0.012120227954156536,0.011967598118262299,0.011721470595899758,0.011326788214376007,0.006288520740771724,0.0016925076690815673,0.00589912865689083,0.0104935711539512,0.010790581410859316,0.007647622815838577
0.5,-0.0435057454642776,0.9957917399550968,-0.31575321318348804,-0.02095499131639894,0.011302907049336713,0.01309641385108105,0.012919658474634676,0.012646498925993038,0.012209145106007097,0.006813988342803529,0.001921694894760205,0.006390548485815242,0.011302968809977516,0.011640419175257086,0.008385010624625204
0.51,-0.04469173385312569,0.9952688853125988,-0.2987706512788872,-0.020545171044567438,0.012234173250700264,0.014101978278712138,0.013900426623597209,0.013599302816285408,0.013116642352138174,0.007360095899121281,0.002173560653824312,0.006901490448262958,0.012135220544265898,0.012516472615841961,0.009167677294965704
0.52,-0.04576721541837768,0.9947042844133505,-0.28213428513854993,-0.020006814138372478,0.01319452785164214,0.015133768539232002,0.014906943580895747,0.014577057567512847,0.014046433888461829,0.00792578146034675,0.0024492915082441613,0.007431010623983495,0.012987757835428194,0.013416161429806017,0.009996306163166005
0.53,-0.04672226638458332,0.9940972438670787,-0.26586751791516466,-0.019339485046768634,0.014180942125266847,0.01618830465085748,0.015935936790883974,0.015576634566453387,0.014995367564698388,0.008509771731760433,0.0027501353253934387,0.007977964279724463,0.01385773002985919,0.014336591631719166,0.010871397564976647
0.54,-0.04754732340919292,0.9934473294507922,-0.24999290816249864,-0.01854380424234327,0.015190107456800089,0.017261856588973237,0.016983893741592652,0.0165946746458098,0.01596006365740721,0.009110636739158042,0.0030773130587354383,0.008541059784413576,0.014742082537692956,0.015274623621589219,0.011793301715760832
0.55,-0.04823326538148081,0.9927543816528098,-0.23453216576912653,-0.017621477119396108,0.01621850246220394,0.018350509189106187,0.018047121628796136,0.01762764664257117,0.016936985991961057,0.00972687341714315,0.0034318790628670177,0.009118944392687869,0.015637630994326537,0.016226931061548183,0.012762238748375593
0.56,-0.04877143845800717,0.992018534969295,-0.21950614862849993,-0.01657528194371121,0.01726234418231339,0.019450133685952043,0.01912171792788621,0.018671816400327872,0.017922397917973065,0.010356810304101929,0.0038148647327352677,0.009710104589354056,0.016541010201938464,0.01718995809201217,0.013778256159010308
0.5700000000000001,-0.04915372097466901,0.9912402246516234,-0.2049347280300597,-0.015409061199919503,0.018317624816157636,0.020556436499495435,0.020203615274185408,0.019723290618038947,0.018912407535782345,0.010998624402056376,0.004227260336250423,0.010312881521652092,0.017448717047607445,0.018159957119058528,0.014841240229577148
0.58,-0.049372562032601625,0.9904202048154546,-0.19083686164942082,-0.014127706126927292,0.0193801307189432,0.02166496845834656,0.021288588323662826,0.020778018855102158,0.019902970601964907,0.011650380905417004,0.004669954547184028,0.010925512863831647,0.018357114743383297,0.01913299519293507,0.015950891264514128
0.59,-0.04942104212619891,0.989559550813094,-0.17723052089935168,-0.012737141394065423,0.020445468781806482,0.02277117090016273,0.022372295839179032,0.02183183548965872,0.02088993311890168,0.012310030085073427,0.005143731591474049,0.011546126975259568,0.019262471805616528,0.020104987826437357,0.01710673197457649
0.6,-0.04929291241369388,0.9886596572004942,-0.16413259551132667,-0.011244275691190036,0.021509110367624297,0.023870427921589544,0.02345032766860714,0.0228805061142814,0.021869082330345152,0.012975424462672847,0.005649268249498644,0.012172758841342796,0.020161010378035988,0.02107173997889263,0.01830812251078172
