t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.36,3.922101358966312e-17,2.057544672834366e-16,5.388213746709836e-16,2.751434063225089e-16,-1.134346522962959e-16,-7.874018277675976e-17,1.666960840196463e-17,1.0860995262873541e-16,1.4907779871675686e-18,2.3174821436877657e-17,1.2389720326078102e-16,1.8634724839594607e-16,2.1776200634371357e-16,-2.930056371142076e-17,-1.5640293964461205e-16
0.37,3.565669894761703e-17,4.797459087976796e-16,4.242347575664218e-16,-1.8638790597741428e-16,1.6055678921794714e-16,1.1892342579450377e-16,-5.107947485122333e-17,-9.791700870259712e-17,1.0503208545953324e-17,-2.0288133152635002e-17,6.102702978377783e-17,-1.8443634206694037e-16,-1.9034524390698637e-16,4.3273219209327696e-17,-5.577542551080117e-17
0.38,-6.258421515401014e-16,-2.927752441525544e-16,-6.258421515401014e-16,-1.5399736607440984e-16,-1.8175294169003875e-16,-1.6093625997831706e-16,2.6413875427178102e-17,1.1748685791596047e-16,-1.3918445389282663e-17,1.3403449357352049e-17,1.6940658945086007e-18,8.983970251758011e-17,7.579928438389283e-17,-2.3012191111004832e-17,1.6420919528650768e-16
0.39,-9.668372873139486e-17,4.029166323499256e-16,5.694500860436991e-16,1.5311645180926536e-16,1.9474981523270873e-16,2.9189432988740993e-16,1.3229977009754368e-16,-9.321428177944124e-17,-1.3417001884508117e-17,-5.613456748043699e-17,-9.494900525541805e-17,3.6131037398079435e-17,5.814034149953518e-17,-1.691355389077387e-17,1.146543797403421e-17
0.4,3.5404621942514147e-16,-3.4531839193663316e-17,7.649046326885234e-17,-1.039207782327356e-16,-3.4531839193663316e-17,1.6263032587282567e-19,1.0570971181733668e-17,7.822518674482914e-17,-7.209944447028604e-18,3.095397202446115e-17,-1.7179183423032818e-16,-1.0489656018797255e-16,-1.6382294826255972e-16,1.1519648082658485e-17,-1.2083433212350947e-16
0.41000000000000003,3.0763559017918385e-16,1.966132877166682e-16,5.783540963852363e-17,-4.0013158801935345e-16,1.4110213648541037e-16,3.2845227189090553e-16,5.436596268657001e-17,-3.8441743278189167e-17,1.4568966692773966e-18,-8.766452190903107e-17,-2.205877082557539e-16,1.5140205712402266e-16,2.2678121316607736e-16,2.0938654456126304e-18,4.2947958557582044e-17
0.42,4.775436231348185e-16,3.3454413284755846e-17,3.11010169441045e-16,4.081546840957462e-16,-6.369010136994535e-17,-7.756788917775981e-17,-3.940397270627005e-17,-4.70950318673391e-18,-1.5117844042594752e-17,4.5597477616593496e-17,-2.5407600285839993e-16,-5.425754246932146e-17,-2.059103213457314e-16,-1.910228702647898e-17,1.3077511079248594e-16
0.43,1.6931172176076759e-16,2.248228729920254e-16,3.219673876467266e-16,-2.470219124736661e-16,-5.273288316426372e-17,2.359494977871579e-17,6.349358972618235e-17,6.262622798819395e-17,8.84980023291293e-18,-2.0098397772450038e-17,-2.1785687403380605e-16,3.1157259931802184e-17,1.2106472508516264e-16,2.7416762436727193e-17,-1.1084611960948676e-16
0.44,-3.2493200296211666e-16,-3.804431541933745e-16,-4.7376246805827527e-17,-4.081987298090034e-16,-1.8268467793201848e-16,7.925856694047939e-17,-5.742883382384156e-18,-9.334641891921291e-17,1.9410607019279547e-17,-3.0029012046059456e-17,-1.5384490014390406e-16,1.1070042994255902e-16,-4.912791094074942e-19,-4.438113830433632e-17,-9.459833361525477e-17
0.45,-3.2396744419343083e-16,-1.0192283926839952e-16,-1.24474244456098e-16,1.964495985996113e-16,1.1144814827674775e-16,-3.2604415722186156e-18,7.252529028451814e-17,1.328882462376486e-16,-1.7029809162784522e-17,7.70653868818012e-17,-3.561710015733289e-17,-1.3567710221648339e-16,-1.0964269754967521e-16,-9.231176817414179e-18,1.0340789978317312e-16
0.46,7.318350899991762e-16,2.877458801491136e-16,-3.7665321115000353e-16,3.577729526348236e-17,-2.9588014929983345e-16,-1.4583895648469323e-17,-2.9518780574457146e-17,-1.5235211045348676e-16,3.884694266433194e-17,-9.179941912017134e-17,9.28718687105137e-18,1.1319525960957815e-16,1.9054334373752547e-16,6.366680796389586e-17,5.882384414841019e-17
