t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.51,-0.006438321664203606,0.8441220558573495,-0.6891107589552828,-0.13931219206916545,-0.009129941056610025,-0.0003255731458242095,8.107827231129683e-05,5.836142876047834e-05,0.000317212781111631,0.0016113745257189394,0.0030723906056749073,-0.004573757840611037,-0.00038015401151575423,-5.525299379804949e-06,9.56888407777079e-06
0.52,-0.008258044575285783,0.8558392967497379,-0.697529461744505,-0.14007390022531885,-0.009309583496037,-0.00038460757402031254,-1.2139170116887144e-05,6.277799817810958e-05,0.00039023864508702655,0.0017117066016874571,0.003250634908911615,-0.004911254960448697,-0.0004651922294928168,-3.5652559521204275e-05,-1.7507397467197983e-05
0.53,-0.010275607906200857,0.8678528640040373,-0.7064575198975278,-0.14085791037787565,-0.009571575730608739,-0.00036591660743795495,-5.693038658233229e-05,3.660848093983704e-05,0.0004639823788959996,0.0018779551739181166,0.003416791356468038,-0.0052226895318482625,-0.0004864189567594934,2.5166558340727896e-05,1.2278577491642295e-05
0.54,-0.012406453494293757,0.8799134024540287,-0.7157592436279079,-0.14153398526739785,-0.010065828942244948,-0.0003702482091600401,7.472407364783606e-05,6.845374030839402e-05,0.00046667979997411235,0.0019293253175053648,0.0036097881357274528,-0.005434691386171336,-0.0004699967362443713,5.275568485307858e-05,4.351251571516057e-05
0.55,-0.014466963155081669,0.8917623992882349,-0.724993078883463,-0.1417306481597781,-0.010312738101528496,-0.0004553094086356957,1.1427426829802023e-05,8.113919520530422e-05,0.0004859826284679958,0.0019031956320029741,0.0038407838174808542,-0.005663550519435401,-0.0005220612364072452,-5.65622820852818e-06,1.6616280257786276e-05
0.56,-0.01636964670845026,0.9032645456149215,-0.733954617715079,-0.1417051362796845,-0.010392384038257374,-0.00045506204507306247,-5.472088910873918e-05,6.673129096868013e-05,0.0005388365988871491,0.0019656843288109183,0.004065113022882191,-0.00596573278855983,-0.0006011760136586664,-2.8727993221955295e-05,-1.5550583930323825e-05
0.5700000000000001,-0.01819059220721253,0.9143705519614996,-0.7428572083719052,-0.14178030319617602,-0.010775402245899957,-0.0004271576238553121,6.638790280460993e-05,8.556645845436694e-05,0.0005793188318418685,0.0020212422385562645,0.004284724203495599,-0.006223946226261601,-0.000608802330554159,2.7461443754872583e-05,1.1418322916567636e-05
0.58,-0.01999142416942401,0.925002307558411,-0.7518253893384141,-0.1416197434236077,-0.011140986045026946,-0.000518450830864603,2.964974869101855e-05,9.646849650524203e-05,0.0005883659872313318,0.0019498707480783695,0.004548988989685886,-0.006402363226086782,-0.0006007386339377252,4.7222862167017876e-05,4.72745125634777e-05
0.59,-0.02166039916702478,0.9350213628646974,-0.7605803088049364,-0.14099341488073866,-0.011172501227456388,-0.0005508680547868794,-4.789779787578441e-05,9.539068451724919e-05,0.0005865375732489186,0.0018800721059848424,0.004846141623960708,-0.006612348394256146,-0.0006639713479445475,-4.140359928794801e-06,2.2911281046478216e-05
0.6,-0.023023285121559017,0.9442951307420621,-0.7688279492478332,-0.14028770090367612,-0.011337246697625841,-0.0005010291034209524,5.813778002050629e-05,0.0001082201120168047,0.0006200452904282228,0.0018447376283157735,0.005134843655212544,-0.006853918141030119,-0.0007289048073697013,-1.950054051969019e-05,-1.4090598985661007e-05
0.61,-0.024062030279965646,0.9527660564335975,-0.7766240437535538,-0.1396609982111804,-0.011711143646251448,-0.0005785477281468054,4.238950933924124e-05,0.00010979918589601456,0.0006370263275717603,0.0016971449385698306,0.005444741887680855,-0.007009775915329919,-0.0007211764839977763,2.6355891093621242e-05,9.689827983161425e-06
0.62,-0.02490789808678201,0.9604492277169758,-0.7841428136046499,-0.13876361537369533,-0.011828570081999834,-0.0006446298937321515,-3.878572995988372e-05,0.00011745288954070898,0.0005787198061955323,0.0014987735291792093,0.005808354590218249,-0.0071135949498119105,-0.0007214875942064547,3.8590601677407355e-05,4.96412558606274e-05
0.63,-0.02562131225224923,0.967366608273626,-0.791370337528756,-0.13752646204145258,-0.011840876998087224,-0.000590700160690405,5.087592040078914e-05,0.00013040062168387379,0.0005593611773929141,0.0013814138904238854,0.006181977714458218,-0.007290099694268054,-0.0007896402222456744,4.601660735792379e-07,2.805728292387677e-05
0.64,-0.026092988073025486,0.9734973203765694,-0.7981996577168358,-0.13625493008754663,-0.01207995178321808,-0.0006431914284743268,5.0055070578314265e-05,0.00012096747008027986,0.0005897342284770513,0.0011952019142979081,0.006552873227524635,-0.007469672560660959,-0.0008366599092895499,-9.301021174634716e-06,-1.3645652058358326e-05
0.65,-0.02620520182955069,0.9788098672374131,-0.8045860234001163,-0.13500294540273902,-0.012267375557055149,-0.0007323451440217621,-2.9679802428045354e-05,0.0001310649029023503,0.0004999192676703179,0.0008459971076483636,0.006983533882831586,-0.007509864459285656,-0.000816920384571318,1.999863858154205e-05,6.702599766567063e-06
0.66,-0.026001564469700617,0.9833305821522315,-0.8105120829399856,-0.13357426685148704,-0.01226784873731282,-0.000689918957749891,4.447335275711839e-05,0.00014496208662753696,0.0003701755579421373,0.000532148614303507,0.007467418226983598,-0.007502685737943604,-0.0008230135738543642,2.8879224881511734e-05,5.084659370857558e-05
0.67,-0.02562285204893211,0.9871456126998772,-0.8160239914449933,-0.13193391419370828,-0.01235932484308333,-0.0007179398153239896,5.283023723459679e-05,0.00012307059129296194,0.0003586853848432936,0.0002888153815879674,0.007932038996402069,-0.007603921676363853,-0.0008861594490133656,9.420591701225778e-06,3.191317378974101e-05
0.68,-0.025122457599880604,0.9903337818874476,-0.8212951902382957,-0.1302203522718029,-0.012512991131899312,-0.0008157780547391191,-2.2576343195801485e-05,0.00013031942548760722,0.0002825234417522249,-7.666602440045689e-05,0.00840968144032168,-0.007707209976349272,-0.000914144747216683,-7.721639596475205e-07,-1.4701828903534997e-05
